,access,bridge,geometry,highway,junction,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,tunnel,u,v,width,poi,crime,poi_std,crime_std,trees,greenness_std
1247,,,"LINESTRING (699629.5866199827 5711983.11658965, 699625.2576506229 5711984.739036781)",secondary,,0,1,4.61,20 mph,Bernard Street,False,8169021,B502,,,60035535,2224242722,,1,10,0.13678317515658572,0.3034643827043842,0,0.0
1248,,,"LINESTRING (699629.5866199827 5711983.11658965, 699630.1089826579 5711987.84743537)",secondary,,0,1,4.756,20 mph,,False,28026001,B504,,,60035535,2224242724,,1,10,0.13477531495382275,0.29900978471533585,0,0.0
1249,,,"LINESTRING (699629.5866199827 5711983.11658965, 699645.4889405005 5711950.592230035)",secondary,,0,2,36.165,20 mph,Grenville Street,False,605454355,B504,,,60035535,1843348270,,1,32,0.06524634794811293,0.21107437546987665,0,0.0
1250,,,"LINESTRING (698418.4137779245 5711692.492658949, 698448.7712800965 5711655.363626648)",tertiary,,0,,47.883,30 mph,Cleveland Street,False,31959,,,,823771,4366962142,,0,9,0.0,0.12920616899170426,4,0.1789655195224214
1251,,,"LINESTRING (698418.4137779245 5711692.492658949, 698411.7743814389 5711687.30006974)",unclassified,,0,,8.409,30 mph,Clipstone Street,False,616993987,,,,823771,333725776,,1,9,0.10522952651657616,0.22418065738609286,2,0.2119602774035441
1252,,,"LINESTRING (698418.4137779245 5711692.492658949, 698415.2049732191 5711696.030660079, 698412.6580569695 5711700.229259169, 698412.5772497958 5711705.314911889, 698414.3100570096 5711711.807726833)",tertiary,,0,,21.47,30 mph,Cleveland Street,False,17944928,,,,823771,823745,,0,9,0.0,0.1614746364692132,4,0.22366108701251186
1253,,,"LINESTRING (699105.3237504227 5711568.843953319, 699084.2078987104 5711598.15869914)",primary,,0,3,36.076,20 mph,Gower Street,False,60494630,A400,,,881889759,104302,,3,0,0.13057929198204316,0.0,0,0.0
1254,,,"LINESTRING (699105.3237504227 5711568.843953319, 699023.2619156039 5711507.865104063)",service,,0,1,101.99,20 mph,Gower Mews,False,74662674,,alley,,881889759,881889762,,4,48,0.1181795066651802,0.18326984749809425,0,0.0
1255,,,"LINESTRING (699105.3237504227 5711568.843953319, 699133.3241122384 5711531.39230068, 699138.2658731274 5711524.604398785)",primary,,0,3,55.076,20 mph,Gower Street,False,60494630,A400,,,881889759,107842,,5,0,0.15143029609265496,0.0,0,0.0
1256,,,"LINESTRING (699023.2619156039 5711507.865104063, 699105.3237504227 5711568.843953319)",service,,0,1,101.99,20 mph,Gower Mews,False,74662674,,alley,,881889762,881889759,,4,48,0.1181795066651802,0.18326984749809425,0,0.0
